id_product,product_name,description
1,Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,"An unlined demi cup bra featuring sheer, sexy fabrication and bold, contrasting edging with repeating Calvin Klein logo."
2,Wacoal Embrace Lace Bikini Panty,Embrace lace bikini offers great fit and matches coordinating pieces in the collection |Embrace Lace Bikini
3,Wacoal Women's Slimline Seamless Minimizer Bra,Seamless underwire minimizer bra gives great support and lift |This Minimizer was designed for function and comfort. Perfect for the full figure woman that wants full coverage. Details include placed nosegay embroidery in satin stitching with plush rigid straps detailed with satin picot.
4,Hanky Panky Womens Signature Lace Retro V-Kini,"All-day comfort describes this figure-flattering bikini, Soft non-binding edges eliminate visible panty lines. 6"" modest rise; measurement taken from size M, Soft, stretch signature lace. Modest, 6 inch rise. Hanky Panky, Style Number: 9K2124."
5,Wacoal Women's Red Carpet Strapless Bra,"Red Carpet full figure strapless fits great, supportive and stays in place"
6,Wacoal Womens Basic Beauty Contour T-Shirt Bra,"Basic beauty contour spacer will offer great support in a breathable, soft, lightweight fabrication |Basic beauty contour spacer will offer great support in a breathable, soft, lightweight fabrication"
7,Calvin Klein Women's Seductive Comfort Tailored Customized Lift Demi Bra,Calvin Klein Black is an updated version of CK's most luxurious collections. The styles combine beautiful lace and nude mesh
8,Calvin Klein Women's Modern Cotton Bikini,"Soft jersey Calvin Klein Underwear briefs with a wide, logo-print waistband."
9,Wacoal Women's Embrace Lace Bra,Embrace Lace Fashion Wire
10,b.tempt'd by Wacoal Women's Ciao Bella Balconette Bra,Balconette features corded lace overlay with a dramatic scallop neckline
11,Calvin Klein Women's 3 Pack Invisibles Hipster Panty,This sleek hipster features seam-free edges that are invisible under clothes.
12,Wacoal Women's Retro Chic Contour Bra,Seamless full coverage molded underwire with supportive spacer cups
13,Wacoal Women's Bodysuede Underwire Bra,"Bodysuede Full Figure Seamless Bra offers stretch seamless with microdenier hand. Details include double cup support, hidden foam sling for uplift, shaping and support. Seamless, smooth and comfortable! Full figure seamless underwire with a hidden inner sling for great support! Wide padded straps relieve shoulder strain. Colors: Ivory, Black, French Nude. Sizes: C 34-40; D, DD, DDD 32-40. |Bodysuede Full Figure Seamless Bra offers stretch seamless with microdenier hand. Details include double cup support, hidden foam sling for uplift, shaping and support."
14,b.tempt'd by Wacoal Women's B.Enticing Strapless Bra,Intricate lace strapless contour with nude cup lining
15,Wacoal Women's Full Figure Simple Shaping Minimizer Bra,"The Wacoal Simple Shaping Full Coverage Underwire Minimizer Bra offers great shape while minimizing the bust up to one inch.   Product Features: Minimizer bra Underwire Sleek seamless, molded, rigid cups Offers great shape and minimizes bustline up to one inch Tailored and is smooth under your favorite tees and sweaters Extra comfortable and easy to wear Adjustable straps  Hook and eye back closure Designed for full figure women Cups: 100% Polyester Back: 71% Nylon, 29% Spandex/Elastane Center lining:100% Nylon |Full Figure Minimizer"
16,Wacoal Women's Retro Chic Underwire Bra,Beautiful low plunge chantilly lace bra with superior support. |Beautiful low plunge chantilly lace bra
17,Wacoal Women's Halo Strapless Bra,Fashionable halo molded lace strapless bandeau underwire bra for day or evening wear
18,Wacoal Women's Full Figure Basic Beauty Underwire Bra,Seamless molded two-ply cups with inner sling for smooth support
19,Wacoal Women's How Perfect Soft Cup Bra,How Perfect Soft Cup is super soft and comfortable.
20,Wacoal Women's Classic Reinvention Full Figure Underwire Bra,Two ply stretch spacer cups for fit flexibility with hidden underwire
21,Calvin Klein Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra,This full coverage bra features lightly lined cups with Memory Touch for ultimate comfort and a perfect fit. |T-shirt bra
22,Wacoal Women's Underwire Sport Bra,"Sport bra offers great control, support and comfort for workouts or as your everyday bra |Wacoal Underwire Sport Bra"
23,Victoria's Secret The Ultimate Maximum Support Sport Bra,"Meet our most intuitive sports bra, with maximum support and sleek comfort for running, boxing, and high-impact work outs. Wider double-lined spandex sides provide an ultra smooth shape while an encased plastic underwire flexes with you. Adjustable straps can convert to crossback with front clip closures that snap into place."
24,Calvin Klein Women's 4 Pack Stretch Lace Hipster Panty,A 4 pack hipster in a beautiful all over lace design
25,Calvin Klein Women's Modern Cotton Boyshort Panty,A Calvin Klein modern cotton boy short in soft cotton for breathable comfort and a comfortable waistband featuring the iconic Calvin Klein logo.
26,Calvin Klein Women's Everyday Lightly Lined Demi Bra,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping."
27,b.tempt'd by Wacoal Women's Lace Kiss Bralette,Lace kiss bralette has soft allover lace that make a beautiful underpinning
28,b.tempt'd Women's B.wow'd Push-Up Bra,Best selling convertible push-up is available in basic colors and a new fashion color.
29,Calvin Klein Women's Bottoms Up Bikini Panty,"The bottoms up bikini features color prints, a refined lace trim, and a thin waistband for comfort and shape retention."
30,Wacoal Women's B-Smooth 3 Pre-Pack Hi-Cut Brief Pant,Best selling high cut brief pants for everyday comfort and easy fit
31,Calvin Klein Women's 5 Pack Cotton Stretch Logo Bikini,"This essential, bikini 5-pack features 5 pairs of cotton bikini underwear with elastic waistband printed with iconic Calvin Klein logo."
32,Calvin Klein Women's Naked Glamour Strapless Push Up Bra,This essential naked glamour push up strapless bra features luxurious smooth cups for an effortlessly glamorous look.
33,Calvin Klein Women's Id Cotton Large Waistband Triangle Unlined Bra,This modern triangle bra features unlined cotton cups and ultra thin straps with a large elastic waistband with repeating Calvin Klein logo.
34,Wacoal Women's B-Smooth Bralette,"Enjoy light support in this wire-free bralette, Modest, foam pads can be removed. Comfortable, non-adjustable stretch straps, No closure - goes on over the head. Seamless, stretch microfiber Wacoal, Style Number: 835275. |Bralette is an easing fitting non-wire bra made for comfort and easy fit"
35,Wacoal Women's Sport Contour Bra,Sport bra with stretch cool plus cups wicks away moisture
36,Wacoal Women's Ultimate Side Contour Bra,Ultimate side smoother contour t-shirt bra offers offers great lift and support
37,Wacoal Women's Body By Wacoal Underwire Bra,Body by wacoal seamless underwire is sleek and modern
38,Victoria's Secret The Ultimate Maximum Support Sport Bra,"Maximum support, Body-Wick keeps you cool & dry, Concealed, flexible underwire for cushioned support, Wear it classic & crossback; with adjustable straps that attach in front, Extra-cushioned adjustable back closure"
39,Wacoal Women's Halo Underwire Bra,Beautiful all over cross-dye soft lace cups and wings.
40,Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,This full coverage lightly lined bra provides ultimate comfort featuring new and improved fit offered in an extended size range.
41,Calvin Klein Women's 4 Pack Stretch Lace Thong Panty,This Calvin Klein 4 pack thong comes in a beautiful all over lace design
42,Wacoal Women's Lace Affair Bikini Panty,Lace affair bikini with intricate cross-dyed lace with scallop detail at front waist
43,Wacoal Women's Awareness Underwire Bra,"Awareness full figure underwire bra with beautiful, smooth jacquard lily fabric"
44,Calvin Klein Women's Modern Cotton Bikini,A Calvin Klein modern cotton bikini in soft cotton for breathable comfort and a comfortable waistband featuring the iconic Calvin Klein logo.
45,Calvin Klein Women's Bottoms Up Hipster Panty,"The bottoms up hipster features color prints, a refined lace trim, and a thin elasticized waistband for comfort and shape retention."
46,Calvin Klein Women's 3 Pack Carousel Thong Panty,A set of 3 Calvin Klein Underwear thongs in neutral hues. Logo lettering at elastic waistband.
47,Wacoal Women's Sport Zip Front Contour Bra,High impact sports bra with a front close zipper which locks in place for a secure workout
48,Calvin Klein Women's Radiant Logo Cotton 3 Pack Thong,An updated thong featuring a sleek design and cotton fabrication with an iconic elastic logo waistband. 3-pack
49,Hanky Panky Women's Vikini Panty,"Hanky Panky's revolutionarily flattering V-front, V-back waistband-our signature design for over 25 years."
50,Calvin Klein Women's Standard Radiant Cotton Bikini Panty,Metallic logo elastic trims these Calvin Klein Underwear bikini briefs. Lined gusset.
51,Wacoal Women's Dual Control Underwire Bra,Dual control underwire is a seamless molded two ply spacer cup bra
52,Calvin Klein Women's Standard Ck One Cotton Bikini Panty,Contrast logo elastic trims these Calvin Klein Underwear bikini briefs. Lined gusset.
53,Calvin Klein Women's ID Tanga Wide Waistband Cotton Panty,Updated tanga underwear featuring classic cotton styling and a large elastic waistband with repeating iconic Calvin Klein logo
54,Calvin Klein Women's Seductive Comfort Lift Strapless Multiway Bra,This strapless multiway bra features seamless customized lift push up cups and sensual lace wings with supportive silicone elastic inside.
55,Calvin Klein Women's Standard Ck One Cotton Thong Panty,"A jersey Calvin Klein Underwear thong with a wide, logo-print waistband. Lined gusset."
56,Calvin Klein Women's Modern Cotton Lightly Lined Bralette,This modern cotton lightly lined bralette features a crisscross racer back design and elastic bra band with iconic Calvin Klein logo.
57,Calvin Klein Women's 3 Pack Invisibles Thong Panty,This sleek thong features seam-free edges that are invisible under clothes.
58,Calvin Klein Women's Carousel 3 Pack Thong,This carousel thong 3-pack features classic cotton blend fabrication and an iconic Calvin Klein repeating logo waistband.
59,Calvin Klein Women's 4 Pack Stretch Lace Bikini Panty,A 4 pack bikini in a beautiful all over lace design
60,Calvin Klein Women's Modern Cotton Bralette and Bikini Set,A bralette and bikini set in soft cotton for breathable comfort
61,Calvin Klein Women's Ck One Cotton Unlined Bralette,A soft jersey Calvin Klein Underwear bralette styled with a contrast logo waistband. Adjustable shoulder straps. Double-layered.
62,Calvin Klein Women's Horizon Seamless 2 Pack Bralette,A set of 2 Calvin Klein Underwear bralettes with logo lettering at the elastic band. Removable padding.
63,Wacoal Women's Front Close T-Back Bra,"Pure comfort in a seamless molded front close t-back bra |Body by Wacoal T-back has softness, comfort and the functional advantages of Supplex. This is a great option for those who prefer a front closure bra for convenience. This style offers comfort and is necessary for tops that have under deep or cutout armholes- it prevents straps from slipping off of shoulders."
64,Wacoal Women's B-Smooth 3 Pre-Pack Brief Pant,Best selling full brief pants for everyday comfort and easy fit
65,Calvin Klein Underwear Women's Carousel 3 Pack Boyshorts,"A 3-pack of Calvin Klein Underwear boyshorts, composed of soft jersey. Logo lettering at waistband. Lined gusset."
66,Calvin Klein Women's Id Micro Unlined Bralette,Sheer mesh inserts accent this soft Calvin Klein Underwear bralette. Wide logo elastic waistband. Unlined.
67,Calvin Klein Women's Invisibles Lightly Lined T-Shirt Bra,"This full coverage contour bra creates a seamless, smooth appearance through clothes"
68,Calvin Klein Women's Ombre 5 Pack Thong,An ombre thong featuring linear lace galloon fabrication with graphic eyelet picot elastic trim.
69,Hanky Panky Women's Retro Thong,A high-waisted panty with figure-flattering coverage everywhere you need it. This panty is designed with an extra-generous band of lace that hugs your midsection.
70,Calvin Klein Women's Pure Seamless Bikini Panty (Pack of 3),"A 3-pack of bikini underwear featuring a sleek, seamless design and a contrasting elastic waistband"
71,Calvin Klein Women's Pure Seamless Bikini,"Slinky, seam-free Calvin Klein Underwear bikini briefs with logo detailing along the waistband. Set of 3."
72,Wacoal Women's Embrace Lace Hi-Cut Brief Panty,Embrace lace hi-cut brief offers great fit and matches coordinating pieces in the collection
73,Wacoal Women's Halo Contour Spacer Bra,"Great new t shirt bra with spacer pads that is lightweight, breathable and comfortable |Great new t shirt bra with spacer pads that is lightweight, breathable and comfortable"
74,b.tempt'd by Wacoal Women's Lace Kiss Thong Panty,Lace Kiss Thong is a soft all over lace with a great fit.
75,b.tempt'd by Wacoal Womens Ciao Bella Tanga Panty,Tanga offers corded lace overlay with dramatic scallop at lower front and back edges
76,Calvin Klein Women's Micro Hipster Panty,A modern hipster underwear featuring breathable microfiber and a flirty lace trim.
77,Hanky Panky Women's Bare Godiva Thong Panty," These innovative styles have contours that keep them in place, curing concern of shifting or riding up, while maintaining a sleek, barely-there look beneath clothing. They're made from a unique second-skin microfiber knit from Italy that is ultra-lightweight and smooth, disappearing under the clingiest fashions without sacrificing the signature fit, quality and comfort of your favorite Hanky Panky pieces."
78,Wacoal Women's Basic Beauty Contour Bra,Basic beauty contour bra with breathable soft lightweight stretch micro spacer cups
79,Wacoal Women's Feather Embroidery Underwire Bra,"Impeccable fit and support in this underwire bra, Feather embroidered stretch microfiber. Hook count: 2-rows = B-D, 3-rows = 36D and up, DD and all 40 band sizes. Columns and rows increase with size. Wacoal, Style Number: 85121. |The Feather Embroidery Underwire Bra is Wacoal's most universal cut and sew bra that will fit a wide range of body types."
80,Wacoal Women's Basic Beauty Front Close Contour Bra,Front close contour bra with lightweight stretch spacer cups
81,Wacoal Women's Amazing Assets Contour Bra,Soft pillow foam contour bra with low crisscross center
82,Wacoal Women's Lace Affair Tanga Panty,Lace affair tanga pant with intricate cross-dye lace
83,Wacoal Women's Lace Affair Contour Bra,Lace affair contour bra with intricate cross-dye lace detail at center front and back wing
